Year,Month,Day,HeatIndex
2017,1,27,22
2017,1,28,23
2017,1,29,23
2017,1,30,26
2017,1,31,25
2017,2,1,27
2017,2,2,24
2017,2,3,23
2017,2,4,23
2017,2,5,25
2017,2,6,23
2017,2,7,24
2017,2,8,26
2017,2,9,24
2017,2,10,24
2017,2,11,20
2017,2,12,21
2017,2,13,18
2017,2,14,33
2017,2,15,21
2017,2,16,22
2017,2,17,21
2017,2,18,24
2017,2,19,21
2017,2,20,25
2017,2,21,25
2017,2,22,25
2017,2,23,27
2017,2,24,26
2017,2,25,26
2017,2,26,24
2017,2,27,24
2017,2,28,24
2017,3,1,24
2017,3,2,24
2017,3,3,23
2017,3,4,21
2017,3,5,25
2017,3,6,28
2017,3,7,25
2017,3,8,26
2017,3,9,23
2017,3,10,25
2017,3,11,26
2017,3,12,28
2017,3,13,28
2017,3,14,31
2017,3,15,24
2017,3,16,25
2017,3,17,24
2017,3,18,25
2017,3,19,23
2017,3,20,25
2017,3,21,23
2017,3,22,29
2017,3,23,31
2017,3,24,30
2017,3,25,31
2017,3,26,29
2017,3,27,25
2017,3,28,24
2017,3,29,26
2017,3,30,25
2017,3,31,29
2017,4,1,29
2017,4,2,23
2017,4,3,22
2017,4,4,23
2017,4,5,26
2017,4,6,26
2017,4,7,28
2017,4,8,27
2017,4,9,29
2017,4,10,32
2017,4,11,33
2017,4,12,30
2017,4,13,31
2017,4,14,29
2017,4,15,28
2017,4,16,25
2017,4,17,33
2017,4,18,35
2017,4,19,35
2017,4,20,34
2017,4,21,34
2017,4,22,35
2017,4,23,30
2017,4,24,30
2017,4,25,29
2017,4,26,30
2017,4,27,34
2017,4,28,34
2017,4,29,34
2017,4,30,28
2017,5,1,34
2017,5,2,32
2017,5,3,33
2017,5,4,42
2017,5,5,37
2017,5,6,31
2017,5,7,36
2017,5,8,31
2017,5,9,33
2017,5,10,30
2017,5,11,29
2017,5,12,31
2017,5,13,31
2017,5,14,29
2017,5,15,30
2017,5,16,34
2017,5,17,34
2017,5,18,34
2017,5,19,35
2017,5,20,32
2017,5,21,33
2017,5,22,31
2017,5,23,32
2017,5,24,32
2017,5,25,27
2017,5,26,31
2017,5,27,36
2017,5,28,33
2017,5,29,34
2017,5,30,32
2017,5,31,34
2017,6,1,36
2017,6,2,29
2017,6,3,32
2017,6,4,33
2017,6,5,39
2017,6,6,34
2017,6,7,35
2017,6,8,31
2017,6,9,29
2017,6,10,24
2017,6,11,34
2017,6,12,36
2017,6,13,38
2017,6,14,41
2017,6,15,34
2017,6,16,35
2017,6,17,36
2017,6,18,33
2017,6,19,38
2017,6,20,30
2017,6,21,32
2017,6,22,31
2017,6,23,39
2017,6,24,34
2017,6,25,34
2017,6,26,32
2017,6,27,32
2017,6,28,29
2017,6,29,31
2017,6,30,32
2017,7,1,32
2017,7,2,33
2017,7,3,29
2017,7,4,26
2017,7,5,31
2017,7,6,32
2017,7,7,29
2017,7,8,28
2017,7,9,25
2017,7,10,32
2017,7,11,28
2017,7,12,27
2017,7,13,28
2017,7,14,27
2017,7,15,28
2017,7,16,25
2017,7,17,30
2017,7,18,25
2017,7,19,24
2017,7,20,26
2017,7,21,28
2017,7,22,27
2017,7,23,26
2017,7,24,30
2017,7,25,27
2017,7,26,23
2017,7,27,24
2017,7,28,25
2017,7,29,27
2017,7,30,25
2017,7,31,26
2017,8,1,30
2017,8,2,24
2017,8,3,25
2017,8,4,26
2017,8,5,28
2017,8,6,31
2017,8,7,32
2017,8,8,31
2017,8,9,33
2017,8,10,32
2017,8,11,35
2017,8,12,33
2017,8,13,29
2017,8,14,29
2017,8,15,34
2017,8,16,40
2017,8,17,31
2017,8,18,33
2017,8,19,29
2017,8,20,28
2017,8,21,24
2017,8,22,25
2017,8,23,30
2017,8,24,25
2017,8,25,24
2017,8,26,27
2017,8,27,32
2017,8,28,34
2017,8,29,28
2017,8,30,29
2017,8,31,25
2017,9,1,28
2017,9,2,29
2017,9,3,31
2017,9,4,30
2017,9,5,25
2017,9,6,30
2017,9,7,35
2017,9,8,32
2017,9,9,32
2017,9,10,30
2017,9,11,24
2017,9,12,23
2017,9,13,29
2017,9,14,32
2017,9,15,31
2017,9,16,33
2017,9,17,30
2017,9,18,31
2017,9,19,32
2017,9,20,30
2017,9,21,31
2017,9,22,31
2017,9,23,25
2017,9,24,30
2017,9,25,30
2017,9,26,25
2017,9,27,32
2017,9,28,27
2017,9,29,25
2017,9,30,27
2017,10,1,25
