Heat+E2710:E2738Index,Month,Day,HeatIndex,Year
2015.0,7,23,36.0,
2015.0,7,24,40.0,
2015.0,7,25,41.0,
2015.0,7,26,37.0,
2015.0,7,27,38.0,
2015.0,7,28,36.0,
2015.0,7,29,39.0,
2015.0,7,30,38.0,
2015.0,7,31,35.0,
2015.0,8,1,39.0,
2015.0,8,2,40.0,
2015.0,8,3,41.0,
2015.0,8,4,41.0,
2015.0,8,5,37.0,
2015.0,8,6,38.0,
2015.0,8,7,40.0,
2015.0,8,8,39.0,
2015.0,8,9,40.0,
2015.0,8,10,46.0,
2015.0,8,11,41.0,
2015.0,8,12,40.0,
2015.0,8,13,37.0,
2015.0,8,14,40.0,
2015.0,8,15,41.0,
2015.0,8,16,38.0,
2015.0,8,17,39.0,
2015.0,8,18,40.0,
2015.0,8,19,42.0,
2015.0,8,20,39.0,
2015.0,8,21,43.0,
2015.0,8,22,45.0,
2015.0,8,23,43.0,
2015.0,8,24,42.0,
2015.0,8,25,41.0,
2015.0,8,26,42.0,
2015.0,8,27,38.0,
2015.0,8,28,40.0,
2015.0,8,29,41.0,
2015.0,8,30,42.0,
2015.0,8,31,38.0,
2015.0,9,1,41.0,
2015.0,9,2,42.0,
2015.0,9,3,39.0,
2015.0,9,4,37.0,
2015.0,9,5,40.0,
2015.0,9,6,40.0,
2015.0,9,7,42.0,
2015.0,9,8,40.0,
2015.0,9,9,41.0,
2015.0,9,10,39.0,
2015.0,9,11,39.0,
2015.0,9,12,43.0,
2015.0,9,13,38.0,
2015.0,9,14,35.0,
2015.0,9,15,35.0,
2015.0,9,16,39.0,
2015.0,9,17,39.0,
2015.0,9,18,41.0,
2015.0,9,19,38.0,
2015.0,9,20,40.0,
2015.0,9,21,41.0,
2015.0,9,22,38.0,
2015.0,9,23,38.0,
2015.0,9,24,41.0,
2015.0,9,25,40.0,
2015.0,9,26,37.0,
2015.0,9,27,40.0,
2015.0,9,28,43.0,
2015.0,9,29,43.0,
2015.0,9,30,34.0,
2015.0,10,1,37.0,
2015.0,10,2,36.0,
2015.0,10,3,38.0,
2015.0,10,4,35.0,
2015.0,10,5,38.0,
2015.0,10,6,40.0,
2015.0,10,7,38.0,
2015.0,10,8,40.0,
2015.0,10,9,38.0,
2015.0,10,10,40.0,
2015.0,10,11,38.0,
