Year,Month,Day,HeatIndex
2015,11,22,25
2015,11,23,23
2015,11,24,23
2015,11,25,22
2015,11,26,25
2015,11,27,22
2015,11,28,24
2015,11,29,24
2015,11,30,25
2015,12,1,25
2015,12,2,24
2015,12,3,23
2015,12,4,24
2015,12,5,23
2015,12,6,24
2015,12,7,25
2015,12,8,25
2015,12,9,23
2015,12,10,24
2015,12,11,23
2015,12,12,25
2015,12,13,24
2015,12,14,26
2015,12,15,21
2015,12,16,18
2015,12,17,22
2015,12,18,24
2015,12,19,21
2015,12,20,22
2015,12,21,23
2015,12,22,24
2015,12,23,23
2015,12,24,24
2015,12,25,26
2015,12,26,22
2015,12,27,23
2015,12,28,20
2015,12,29,22
2015,12,30,21
2015,12,31,22
2016,1,1,23
2016,1,2,22
2016,1,3,25
2016,1,4,24
2016,1,5,22
2016,1,6,23
2016,1,7,22
2016,1,8,22
2016,1,9,22
2016,1,10,22
2016,1,11,23
2016,1,12,26
2016,1,13,23
2016,1,14,24
2016,1,15,23
2016,1,16,25
2016,1,17,25
2016,1,18,22
2016,1,19,23
2016,1,20,22
2016,1,21,24
2016,1,22,23
2016,1,23,24
2016,1,24,20
2016,1,25,20
2016,1,26,20
2016,1,27,22
2016,1,28,22
2016,1,29,24
2016,1,30,22
2016,1,31,24
2016,2,1,25
2016,2,2,24
2016,2,3,22
2016,2,4,23
2016,2,5,22
2016,2,6,22
2016,2,7,20
2016,2,8,20
2016,2,9,22
2016,2,10,22
2016,2,11,22
2016,2,12,22
2016,2,13,23
2016,2,14,23
2016,2,15,22
2016,2,16,23
2016,2,17,22
2016,2,18,23
2016,2,19,23
2016,2,20,22
2016,2,21,22
2016,2,22,22
2016,2,23,21
2016,2,24,22
2016,2,25,21
2016,2,26,23
2016,2,27,22
2016,2,28,23
2016,2,29,21
2016,3,1,22
2016,3,2,21
2016,3,3,21
2016,3,4,20
2016,3,5,23
2016,3,6,25
2016,3,7,24
2016,3,8,26
2016,3,9,25
2016,3,10,25
2016,3,11,25
2016,3,12,24
2016,3,13,23
2016,3,14,23
2016,3,15,25
2016,3,16,22
2016,3,17,23
2016,3,18,24
2016,3,19,23
2016,3,20,25
2016,3,21,24
2016,3,22,24
2016,3,23,27
2016,3,24,24
2016,3,25,24
2016,3,26,23
2016,3,27,24
2016,3,28,23
2016,3,29,23
2016,3,30,22
2016,3,31,23
2016,4,1,25
2016,4,2,22
2016,4,3,24
2016,4,4,24
2016,4,5,25
2016,4,6,23
2016,4,7,28
2016,4,8,25
2016,4,9,28
2016,4,10,27
2016,4,11,26
2016,4,12,28
2016,4,13,27
2016,4,14,30
2016,4,15,27
2016,4,16,26
2016,4,17,28
2016,4,18,26
2016,4,19,27
2016,4,20,25
2016,4,21,28
2016,4,22,28
2016,4,23,30
2016,4,24,27
2016,4,25,28
2016,4,26,24
2016,4,27,25
2016,4,28,27
2016,4,29,25
2016,4,30,28
2016,5,1,25
2016,5,2,25
2016,5,3,25
2016,5,4,28
2016,5,5,26
2016,5,6,25
2016,5,7,25
2016,5,8,25
2016,5,9,25
2016,5,10,25
2016,5,11,24
2016,5,12,25
2016,5,13,25
2016,5,14,26
2016,5,15,27
2016,5,16,24
2016,5,17,24
2016,5,18,23
2016,5,19,25
2016,5,20,24
2016,5,21,24
2016,5,22,23
2016,5,23,24
2016,5,24,24
2016,5,25,24
2016,5,26,25
2016,5,27,27
2016,5,28,28
2016,5,29,23
2016,5,30,24
2016,5,31,23
2016,6,1,24
2016,6,2,25
2016,6,3,25
2016,6,4,24
2016,6,5,25
2016,6,6,25
2016,6,7,24
2016,6,8,23
2016,6,9,22
2016,6,10,23
2016,6,11,25
2016,6,12,25
2016,6,13,22
2016,6,14,25
2016,6,15,26
2016,6,16,24
2016,6,17,25
2016,6,18,26
2016,6,19,25
2016,6,20,26
2016,6,21,24
2016,6,22,23
2016,6,23,25
2016,6,24,25
2016,6,25,25
2016,6,26,25
2016,6,27,23
2016,6,28,25
2016,6,29,25
2016,6,30,24
2016,7,1,24
2016,7,2,25
2016,7,3,25
2016,7,4,23
2016,7,5,24
2016,7,6,25
2016,7,7,25
2016,7,8,22
2016,7,9,19
2016,7,10,19
2016,7,11,21
2016,7,12,23
2016,7,13,24
2016,7,14,25
2016,7,15,25
2016,7,16,23
2016,7,17,25
2016,7,18,24
2016,7,19,25
2016,7,20,25
2016,7,21,26
2016,7,22,25
2016,7,23,24
2016,7,24,23
2016,7,25,25
2016,7,26,25
2016,7,27,25
2016,7,28,25
2016,7,29,24
2016,7,30,25
2016,7,31,19
2016,8,1,21
2016,8,2,20
2016,8,3,24
2016,8,4,28
2016,8,5,23
2016,8,6,24
2016,8,7,19
2016,8,8,22
2016,8,9,20
2016,8,10,20
2016,8,11,23
2016,8,12,21
2016,8,13,19
2016,8,14,20
2016,8,15,19
2016,8,16,20
2016,8,17,20
2016,8,18,22
2016,8,19,22
2016,8,20,22
2016,8,21,25
2016,8,22,25
2016,8,23,23
2016,8,24,22
2016,8,25,21
2016,8,26,20
