Year,Month,Day,HeatIndex
2016,2,28,34
2016,2,29,33
2016,3,1,30
2016,3,2,31
2016,3,3,33
2016,3,4,34
2016,3,5,36
2016,3,6,36
2016,3,7,36
2016,3,8,35
2016,3,9,36
2016,3,10,38
2016,3,11,37
2016,3,12,34
2016,3,13,39
2016,3,14,34
2016,3,15,35
2016,3,16,37
2016,3,17,38
2016,3,18,40
2016,3,19,37
2016,3,20,38
2016,3,21,38
2016,3,22,37
2016,3,23,40
2016,3,24,38
2016,3,25,35
2016,3,26,31
2016,3,27,30
2016,3,28,34
2016,3,29,33
2016,3,30,36
2016,3,31,37
2016,4,1,36
2016,4,2,37
2016,4,3,37
2016,4,4,36
2016,4,5,37
2016,4,6,39
2016,4,7,40
2016,4,8,38
2016,4,9,40
2016,4,10,41
2016,4,11,38
2016,4,12,39
2016,4,13,41
2016,4,14,39
2016,4,15,40
2016,4,16,45
2016,4,17,44
2016,4,18,44
2016,4,19,46
2016,4,20,42
2016,4,21,43
2016,4,22,41
2016,4,23,42
2016,4,24,40
2016,4,25,40
2016,4,26,41
2016,4,27,40
2016,4,28,38
2016,4,29,42
2016,4,30,40
2016,5,1,43
2016,5,2,43
2016,5,3,41
2016,5,4,46
2016,5,5,43
2016,5,6,45
2016,5,7,44
2016,5,8,46
2016,5,9,43
2016,5,10,42
2016,5,11,43
2016,5,12,42
2016,5,13,45
2016,5,14,44
2016,5,15,48
2016,5,16,43
2016,5,17,44
2016,5,18,44
2016,5,19,43
2016,5,20,45
2016,5,21,43
2016,5,22,41
2016,5,23,45
2016,5,24,40
2016,5,25,42
2016,5,26,41
2016,5,27,45
2016,5,28,42
2016,5,29,43
2016,5,30,44
2016,5,31,44
2016,6,1,44
2016,6,2,45
2016,6,3,45
2016,6,4,43
2016,6,5,43
2016,6,6,42
2016,6,7,40
2016,6,8,38
2016,6,9,37
2016,6,10,39
2016,6,11,42
2016,6,12,43
2016,6,13,41
2016,6,14,39
2016,6,15,43
2016,6,16,43
2016,6,17,42
2016,6,18,44
2016,6,19,46
2016,6,20,43
2016,6,21,41
2016,6,22,45
2016,6,23,42
2016,6,24,43
2016,6,25,44
2016,6,26,45
2016,6,27,42
2016,6,28,43
2016,6,29,41
2016,6,30,44
2016,7,1,42
2016,7,2,43
2016,7,3,41
2016,7,4,41
2016,7,5,45
2016,7,6,42
2016,7,7,40
2016,7,8,40
2016,7,9,35
2016,7,10,38
2016,7,11,36
2016,7,12,36
2016,7,13,41
2016,7,14,41
2016,7,15,41
2016,7,16,45
2016,7,17,44
2016,7,18,41
2016,7,19,41
2016,7,20,42
2016,7,21,44
2016,7,22,46
2016,7,23,43
2016,7,24,39
2016,7,25,40
